,date,losses,dead,discarded,escaped,other
0,2020-01-01,14812215,13877304,722640,57,212214
1,2020-02-01,14571999,12816171,578811,0,1177017
2,2020-03-01,15465900,14175765,882132,3,408000
3,2020-04-01,15396369,14087667,756912,1500,550290
4,2020-05-01,15659721,13277310,1175925,0,1206486
5,2020-06-01,14546616,10435794,1025187,3,3085632
6,2020-07-01,13631601,8742711,706680,0,4182210
7,2020-08-01,16281318,13702638,615423,2574,1960683
8,2020-09-01,14154523,13006522,828945,0,319056
9,2020-10-01,17112837,15431682,978792,14475,687888
10,2020-11-01,14237154,13153284,988566,0,95304
11,2020-12-01,15008300,13715999,1213092,33,79176
12,2021-01-01,15279582,13980951,1076202,849,221580
13,2021-02-01,18644280,15762074,996520,27207,1858479
14,2021-03-01,16135722,14873898,823341,0,438483
15,2021-04-01,17174283,15634647,1033122,300,506214
16,2021-05-01,17094999,15300756,943602,3,850638
17,2021-06-01,14834529,13409466,1257135,0,167928
18,2021-07-01,14476650,11000376,1077015,6,2399253
19,2021-08-01,14636934,11838489,1070043,115914,1612488
20,2021-09-01,14751774,12550830,864090,6,1336848
21,2021-10-01,13695435,12909867,681852,30,103686
22,2021-11-01,12577743,11307039,556512,6,714186
23,2021-12-01,14570457,13583724,900306,0,86427
24,2022-01-01,14437905,13738833,588705,0,110367
25,2022-02-01,17168352,15177747,721599,0,1269006
26,2022-03-01,16809183,15818301,652737,0,338145
27,2022-04-01,14511213,13607607,519339,0,384267
28,2022-05-01,17108463,15423792,388632,0,1296039
29,2022-06-01,11770386,11022282,664815,6,83283
30,2022-07-01,12905001,9654270,476187,26934,2747610
31,2022-08-01,16582470,13369488,607827,6,2605149
32,2022-09-01,19771611,16204848,527211,57,3039495
33,2022-10-01,18599523,15371541,691827,106155,2430000
34,2022-11-01,17145378,14552598,1041105,72,1551603
35,2022-12-01,17950113,16318359,1099158,0,532596
36,2023-01-01,18488529,17600079,532137,0,356313
37,2023-02-01,16581165,15513387,575511,0,492267
38,2023-03-01,16733841,14952141,604677,0,1177023
39,2023-04-01,14476977,12980181,506043,0,990753
40,2023-05-01,18829260,16431426,991161,0,1406673
41,2023-06-01,15964710,13497027,898914,21,1568748
42,2023-07-01,13671882,10086081,756366,0,2829435
43,2023-08-01,14698209,13601577,813111,0,283521
44,2023-09-01,20730957,19155789,1076877,3,498288
45,2023-10-01,15614631,14109702,1328850,3,176076
46,2023-11-01,20756499,16642080,1302411,960,2811048
47,2023-12-01,27761526,23843631,714951,0,3202944
48,2024-01-01,21288270,19319310,682674,0,1286286
49,2024-02-01,24534606,20297352,719760,0,3517494
50,2024-03-01,20017059,13852722,640086,15141,5509110
51,2024-04-01,16394841,11734776,461289,0,4198776
52,2024-05-01,12631317,10619952,909870,25263,1076232
53,2024-06-01,11465049,9952758,408132,0,1104159
54,2024-07-01,9487344,8441958,608931,45,436410
55,2024-08-01,17933382,15800205,875142,300,1257735
56,2024-09-01,23819658,20543271,1016364,21,2260002
57,2024-10-01,20805336,14493807,1095687,0,5215842
58,2024-11-01,18525243,14799981,528306,0,3196956
59,2024-12-01,14575920,13423572,389181,0,763167
60,2025-01-01,16010037,14458068,467349,44943,1039677
61,2025-02-01,16488507,14248533,469416,0,1770558
62,2025-03-01,12552438,10708977,639126,0,1204335
63,2025-04-01,13983513,10416978,792762,0,2773773
64,2025-05-01,18191322,16257294,779757,0,1154271
65,2025-06-01,22647720,12678519,577776,0,9391425
66,2025-07-01,17633541,11041164,862353,0,5730024
67,2025-08-01,17787183,15245412,734685,63,1807023
68,2025-09-01,16858752,15039984,565041,0,1253727
69,2025-10-01,19899216,17531751,638574,324,1728567
70,2025-11-01,16673826,15076554,729060,0,868212
71,2025-12-01,13777590,11883660,678117,3,1215810
